"City","Job growth index","nonfarm emplmnt"
"San Francisco-Redwood City-South San Francisco, CA Metro Div.",97.5,1034.2
"San Jose-Sunnyvale-Santa Clara, CA",97.2,1031.5
"Dallas-Plano-Irving, TX Metro Div.",91.4,2346.3
"Austin-Round Rock, TX",90.9,924.9
"Nashville-Davidson--Murfreesboro--Franklin, TN",90.8,892
"Houston-The Woodlands-Sugar Land, TX",90.2,2973.6
"Denver-Aurora-Lakewood, CO",89.6,1364
"Orlando-Kissimmee-Sanford, FL",88.8,1135.7
"Charlotte-Concord-Gastonia, NC-SC",86.2,1085.8
"San Antonio-New Braunfels, TX",84.9,960.3
"Riverside-San Bernardino-Ontario, CA",83.9,1319.1
"Atlanta-Sandy Springs-Roswell, GA",83.2,2551.7
"Fort Worth-Arlington, TX Metro Div.",82.8,993
"Seattle-Bellevue-Everett, WA Metro Div.",82.6,1575.6
"Raleigh, NC",82.5,571.5
"Miami-Miami Beach-Kendall, FL Metro Div.",81.5,1114.8
"New York City, NY",80.9,4165.9
"West Palm Beach-Boca Raton-Delray Beach, FL Metro Div.",80.8,576.2
"Salt Lake City, UT",78.7,666.2
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metro Div.",78.2,796.1
"Louisville-Jefferson County, KY-IN",77.4,642.4
"Portland-Vancouver-Hillsboro, OR-WA",77,1090.5
"Kansas City, KS",74,458.8
"Grand Rapids-Wyoming, MI",73.9,521.2
"Columbus, OH",72.3,1028.2
"Anaheim-Santa Ana-Irvine, CA Metro Div.",72.3,1524.2
"Phoenix-Mesa-Scottsdale, AZ",71.4,1900
"San Diego-Carlsbad, CA",71.1,1372.3
"Oakland-Hayward-Berkeley, CA Metro Div.",70.5,1081.5
"Las Vegas-Henderson-Paradise, NV",69.1,896.8
"Indianapolis-Carmel-Anderson, IN",68.7,1006.9
"Tampa-St. Petersburg-Clearwater, FL",68.5,1224.2
"Oklahoma City, OK",67.8,625.8
"Jacksonville, FL",65.9,633.5
"Los Angeles-Long Beach-Glendale, CA Metro Div.",64.4,4295.6
"Sacramento--Roseville--Arden-Arcade, CA",59,902.1
"Boston-Cambridge-Newton, MA NECTA Div.",57.8,1742
"Minneapolis-St. Paul-Bloomington, MN-WI",57.4,1903.7
"Warren-Troy-Farmington Hills, MI Metro Div.",56.4,1182.7
"Richmond, VA",50.7,638.1
"Cincinnati, OH-KY-IN",49.8,1047.8
"Omaha-Council Bluffs, NE-IA",47.3,486.6
"New Orleans-Metairie, LA",46.7,566.2
"Chicago-Naperville-Arlington Heights, IL Metro Div.",46.7,3597.7
"Urban Honolulu, HI",44.9,467.2
"Kansas City, MO",42.7,571.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Div.",41.5,2560.7
"Philadelphia City, PA",41,684.3
"Nassau County-Suffolk County, NY Metro Div.",39.9,1292.3
"Northern Virginia, VA",38.1,1388
"Middlesex-Monmouth-Ocean, NJ",38.1,845.9
"Hartford-West Hartford-East Hartford, CT NECTA",35.7,571.3
"Albany-Schenectady-Troy, NY",35.7,457.2
"Milwaukee-Waukesha-West Allis, WI",33.1,845.7
"Birmingham-Hoover, AL",32.2,516.4
"Providence-Warwick, RI-MA NECTA",32.1,568.7
"Montgomery County-Bucks County-Chester County, PA Metro Div.",31.5,1024.8
"Pittsburgh, PA",30.7,1164.6
"Detroit-Dearborn-Livonia, MI Metro Div.",30.2,734.4
"Orange-Rockland-Westchester, NY",29.9,688.8
"Memphis, TN-MS-AR",29.5,622.5
"Buffalo-Cheektowaga-Niagara Falls, NY",27.9,556.7
"Rochester, NY",27.4,527.8
"Silver Spring-Frederick-Rockville, MD Metro Div.",26.9,576.2
"St. Louis, MO-IL",24.1,1314.3
"Cleveland-Elyria, OH",24,1038.2
"Virginia Beach-Norfolk-Newport News, VA-NC",22.7,753.9
"Bergen-Hudson-Passaic, NJ",22.5,895.1
"Newark, NJ-PA Metro Div.",21.7,1188.1
"Camden, NJ Metro Div.",15.5,515.3
