"Country Name","Fertility","Life_expectancy"
"Aruba","1.657","73.075"
"Andorra","NA","NA"
"Afghanistan","4.843","59.193"
"Angola","6.08","50.802"
"Albania","1.784","75.369"
"United Arab Emirates","1.784","76.295"
"Argentina","2.322","72.443"
"Armenia","1.531","70.944"
"American Samoa","NA","NA"
"Antigua and Barbuda","2.075","73.543"
"Australia","1.859","80.3"
"Austria","1.44","78.8"
"Azerbaijan","2","67.692"
"Burundi","5.948","54.753"
"Belgium","1.75","78.1"
"Benin","4.766","58.114"
"Burkina Faso","5.521","57.307"
"Bangladesh","2.175","70.402"
"Bulgaria","1.48","71.7"
"Bahrain","2.056","75.774"
"Bahamas, The","1.872","72.28"
"Bosnia and Herzegovina","1.263","73.963"
"Belarus","1.62","68"
"Belize","2.579","67.355"
"Bermuda","1.63","77.09"
"Bolivia","2.968","65.944"
"Brazil","1.79","70.737"
"Barbados","1.794","73.153"
"Brunei Darussalam","1.874","76.993"
"Bhutan","2.027","69.221"
"Botswana","2.836","62.139"
"Central African Republic","4.286","48.849"
"Canada","1.61","80.021"
"Switzerland","1.52","80.8"
"Channel Islands","1.466","78.726"
"Chile","1.761","78.644"
"China","1.562","74.293"
"Cote d'Ivoire","5.001","50.743"
"Cameroon","4.704","54.363"
"Congo, Rep.","4.869","60.837"
"Colombia","1.897","70.499"
"Comoros","4.49","61.631"
"Cabo Verde","2.303","71.367"
"Costa Rica","1.819","77.011"
"Cuba","1.615","77.384"
"Curacao","2","74.8"
"Cayman Islands","NA","NA"
"Cyprus","1.446","77.974"
"Czech Republic","1.46","75.3"
"Germany","1.39","78.6"
"Djibouti","3.195","60.436"
"Dominica","NA","NA"
"Denmark","1.67","78.5"
"Dominican Republic","2.48","70.441"
"Algeria","2.857","72.512"
"Ecuador","2.542","73.192"
"Egypt, Arab Rep.","3.338","68.99"
"Euro area","1.525487927","79.03123899"
"Eritrea","4.284","61.564"
"Spain","1.27","80.2"
"Estonia","1.52","72.8"
"Ethiopia","4.395","62.156"
"Finland","1.75","78.3"
"Fiji","2.564","67.154"
"France","1.99","79.3"
"Faroe Islands","2.6","79.4"
"Micronesia, Fed. Sts.","3.243","68.144"
"Gabon","3.909","63.759"
"United Kingdom","1.83","79.3"
"Georgia","1.816","71.154"
"Ghana","4.168","60.357"
"Gibraltar","NA","NA"
"Guinea","5.013","58.271"
"Gambia, The","5.717","58.906"
"Guinea-Bissau","4.835","53.422"
"Equatorial Guinea","4.835","56.329"
"Greece","1.3","78.7"
"Grenada","2.149","70.999"
"Greenland","2.037","NA"
"Guatemala","3.211","68.279"
"Guam","2.386","76.567"
"Guyana","2.558","64.163"
"Hong Kong SAR, China","1.234","81.2"
"Honduras","2.382","70.684"
"Croatia","1.46","74.5"
"Haiti","3.033","60.665"
"Hungary","1.35","72.8"
"Indonesia","2.463","66.868"
