"gpa","class","sex","workstudy","tvhours","relatn","varsity","smokepermth","fin.aid","drink.mth"
3.6,"Senior","F","Y",1,"N","N",0,"Y",4
3.97,"Junior","M","Y",3,,"N",0,"Y",0
3.81,"Junior","F","N",1,"N","Y",0.5,"Y",1
3.61,"Sophomore","M","N",2,"Y","N",0,"N",0
3.6,"Sophomore","F","N",0,"Y","N",0,"N",3
3.2,"Senior","F","Y",2,"N","N",0,"Y",4
3.6,"Senior","F","N",4.5,"N","N",1,"N",12
3.5,"Senior","F","Y",0,"N","N",0,"Y",4
2.29,"Senior","F","Y",3,"N","N",0,"Y",20
3.6,"Senior","M","Y",2,"N","N",0,"N",4
3.5,"Senior","F","N",6,"N","N",1,"N",16
3.8,"Senior","M","N",10,"N","N",0,"N",12
3.8,"Senior","M","Y",3,"Y","N",0,"Y",4
3.4,"Senior","M","Y",4,"N","N",0,"Y",
3.1,"Senior","M","Y",1,"N","N",0,"N",8
4,"Senior","M","N",7,"N","Y",4,"Y",8
3.2,"Senior","M","N",3,"N","Y",0,"Y",4
3.48,"Senior","M","N",0,"N","N",12,"N",8
3.35,"Senior","M","Y",0,"N","N",2,"N",4
3.3,"Sophomore","M","Y",3,"N","N",0,"Y",0
3,"Junior","F","N",4,"N","N",0,"N",8
3.5,"Junior","M","Y",4,"N","N",0,"Y",4
3.7,"Junior","M","Y",0,"N","N",0,"N",4
3.6,"Junior","M","Y",2,"N","N",4,"Y",10
2.67,"Junior","F","Y",0,"N","N",0,"Y",4
2.72,"Sophomore","F","Y",0,"N","N",0,"Y",0
3.22,"Sophomore","F","Y",0,"N","N",0,"Y",0
3.13,"Junior","F","N",0.5,"N","N",0,"N",8
3.6,"Senior","M","Y",0,"N","N",0,"Y",8
3.64,"Sophomore","M","Y",0,"N","N",0,"Y",6
3.39,"Sophomore","M","Y",4,"N","N",0,"Y",0
3.1,"Junior","M","N",4,"N","Y",0,"N",0
3.3,"Senior","M","Y",20,"N","N",1,"Y",8
3.3,"Senior","F","Y",0,"N","N",0,"N",4
3.43,"Junior","F","N",1,"N","N",0,"N",4
3.75,"Sophomore","F","Y",0,"N","N",0,"N",4
3.31,"Sophomore","F","Y",0.5,"N","N",0,"Y",4
1.75,"Junior","M","N",0,"Y","Y",0,"N",4
3.9,"Junior","M","N",1.5,"N","N",0,"N",0
3.7,"Junior","F","N",0.5,"N","N",0,"N",2
3.67,"Junior","M","Y",1,"N","N",0,"Y",4
3.5,"Sophomore","F","N",3,"N","N",0,"N",0
2.57,"Sophomore","F","Y",,"N","N",1,"N",1
4.08,"Sophomore","F","Y",0,"N","N",0,"Y",1
3.5,"Firstyear","F","Y",1,"Y","N",0,"N",6
3.6,"Senior","F","Y",8,"N","N",1,"Y",2
3.69,"Sophomore","M","N",5,"N","N",0,"N",0
3.37,"Junior","F","Y",1,"N","N",0,"N",1
3.4,"Junior","M","Y",2,"N","N",15,"Y",4
3.82,"Junior","M","N",0,"N","N",4,"N",16
3.75,"Senior","F","N",4,"N","N",0,"N",0
3.49,"Senior","F","N",1,"N","N",0,"N",8
3.15,"Junior","M","N",3,"N","N",0,"N",16
3.7,"Sophomore","M","N",3,"N","Y",0,"N",0
3.46,"Junior","M","Y",10,"N","N",0,"N",12
3.9,"Firstyear","M","Y",0,"N","N",0,"N",0
3.25,"Junior","F","Y",3,"N","N",0,"N",4
3.42,"Junior","M","Y",5,"Y","N",0,"Y",0
3.8,"Junior","M","N",0,"N","N",0,"N",12
3.33,"Junior","M","N",0,"Y","N",0,"N",4
3.7,"Senior","M","N",2,"Y","N",0,"N",8
3.53,"Senior","F","N",3,"N","Y",0,"N",0
3,"Sophomore","F","N",0,"N","N",0,"N",8
3.5,"Senior","F","N",2,"N","N",0,"N",0
3.7,"Sophomore","F","Y",0,"N","N",0,"N",8
3.72,"Sophomore","M","N",3,"N","N",0,"N",4
3.3,"Senior","F","N",10,"N","N",0,"N",0
3.74,"Sophomore","M","N",5,"N","N",0,"N",4
3.5,"Junior","F","Y",1,"Y","N",0,"N",0
2.8,"Junior","M","N",4,"N","Y",4,"N",12
3.3,"Senior","F","Y",1,"N","Y",0,"Y",8
3.69,"Sophomore","F","Y",0,"Y","N",0,"N",0
3.3,"Sophomore","F","Y",0,"N","N",0,"Y",0
3.45,"Junior","F","Y",6,"N","N",0,"N",4
