"Year","Adj.Price","CPI.Adjustor.2016","Nominal.Price","AE098.Forecast.in.2016.","AE099.Forecast.in.2016."
1968,"19.80833333","6.83045977","2.9","NA","NA"
1969,"18.13514986","6.476839237","2.8","NA","NA"
1970,"18.13381443","6.12628866","2.96","NA","NA"
1971,"18.60516049","5.869135802","3.17","NA","NA"
1972,"18.31086124","5.686602871","3.22","NA","NA"
1973,"21.8427027","5.353603604","4.08","NA","NA"
1974,"60.3651927","4.821501014","12.52","NA","NA"
1975,"61.59098778","4.416163493","13.95","NA","NA"
1976,"56.29470614","4.175058548","13.48","NA","NA"
1977,"56.96119866","3.921363761","14.53","NA","NA"
1978,"53.08145547","3.643377187","14.57","NA","NA"
1979,"70.64892409","3.274856487","21.57","NA","NA"
1980,"97.6925123","2.885292333","33.86","NA","NA"
1981,"96.97879048","2.614002933","37.1","NA","NA"
1982,"82.65878035","2.462361878","33.57","NA","NA"
1983,"69.97191719","2.386945607","29.31","NA","NA"
1984,"66.0425367","2.287042976","28.88","NA","NA"
1985,"59.62672881","2.209107807","26.99","NA","NA"
1986,"30.19546304","2.16698321","13.93","NA","NA"
1987,"37.9469478","2.092122635","18.14","NA","NA"
1988,"29.3463427","2.009723103","14.6","NA","NA"
1989,"34.65841991","1.917837692","18.07","NA","NA"
1990,"39.53876343","1.819248677","21.73","NA","NA"
1991,"32.68849994","1.745654835","18.73","NA","NA"
1992,"30.84685468","1.694126032","18.21","NA","NA"
1993,"26.54393565","1.645267347","16.13","NA","NA"
1994,"24.91758525","1.60364311","15.54","NA","NA"
1995,"26.73922898","1.559881877","17.14","NA","NA"
1996,"31.24550881","1.51538012","20.62","NA","NA"
1997,"27.37770505","1.480766236","18.49","27.16926695","NA"
1998,"17.59570198","1.458207658","12.07","27.5526076","17.09459605"
1999,"24.64493113","1.426913457","17.27","28.03178332","18.56806161"
2000,"38.26797579","1.380438465","27.72","28.51095913","20.36497077"
2001,"29.52834652","1.342621793","21.99","28.99013495","22.16188003"
2002,"31.33648058","1.32153447","23.71","29.46931066","23.95878918"
2003,"35.8194727","1.291847826","27.73","29.94848648","25.75569834"
2004,"45.16331862","1.258282236","35.89","30.30786829","27.5526076"
2005,"59.51061906","1.217309662","48.89","30.78704411","29.34951676"
2006,"69.63637773","1.1793112","59.05","31.14642592","31.14642592"
2007,"77.02216078","1.146403122","67.19","31.50580783","31.50580783"
2008,"102.2268329","1.104275525","92.57","31.86518964","31.86518964"
2009,"65.4025747","1.107824525","59.04","32.22457145","32.22457145"
2010,"82.64889483","1.089986144","75.83","32.58395327","32.58395327"
2011,"108.404308","1.056774784","102.58","32.94333518","32.94333518"
2012,"104.6526387","1.035278746","101.09","33.30271699","33.30271699"
2013,"100.1168373","1.020339176","98.12","33.6620988","33.6620988"
2014,"90.0088972","1.004172788","89.63","34.02148061","34.02148061"
2015,"46.48903318","1.002915447","46.35","34.38086253","34.38086253"
2016,"30.55025746","1","30.55","35.14602","35.14602"
2020,"NA","NA","NA","35.93818378","35.93818378"
