"Origin","Fuel_Efficiency"
"Europe",25.6
"Europe",31.1687
"Europe",17.8763
"Europe",19.9
"Europe",17.3
"Europe",28.8183
"Europe",24.9286
"Europe",20.4368
"US",31.5
"US",22.7993
"US",23.6
"US",21.3
"US",26
"US",31.5
"US",24.5
"US",23.9
"US",27.1
"US",19.9
"US",27.7
"US",17.5199
"US",33.3
"US",33.7
"US",33.7
"US",37.1
"US",30.0797
"US",31.8
"US",35
"US",23.9
"US",22.9996
"US",35.1
"US",30.446
"US",28.5997
"US",36.1997
"US",36
"US",29.2986
"US",32
"US",28.6
"US",28.4859
"Asia",35.0438
"Asia",33.7982
"Asia",29.7081
"Asia",26.9949
"Asia",26.2
"Asia",22.7499
"Asia",34.5
"Asia",30.8941
"Asia",30.9
"Asia",30.7997
"Asia",35.1382
"Asia",52.9735
"Europe",25.3
"Europe",31.1894
"Europe",47
"Asia",56.0848
"Asia",26.3429
"US",27.6
"US",21.3
"US",28.6
"US",23.1
"US",60.5605
"Europe",20.1528
"Europe",19.8282
"Asia",36.0379
"Asia",32.2648
"Asia",37.5962
"Asia",37.0393
"Asia",35.4265
"Asia",32.9
"Europe",36.7
"Europe",25.8
"Europe",25.9
"Europe",25.9
"Europe",22.9
"Asia",27.4769
"Asia",33.6006
"Asia",24.9
"Asia",32
"Asia",58.5479
"Asia",55.0793
"Asia",37.5
"Asia",36.4658
"Asia",39.8449
"Europe",33.8
"Europe",23.5657
"Europe",22.278
"Europe",28.4685
"Europe",25.0815
"Europe",23.1166
"US",22.799
"US",21.2
"US",19.5
"US",30
"US",22.3
"Asia",24.8
"Asia",23.8
"Asia",18.5
"Asia",20.4
"Asia",22.7
"Asia",36.3
"Asia",28.7
"Asia",32.5631
"Asia",26.9
"Asia",31.7939
"Europe",22.9
"Europe",22.7
"Europe",23.4
"Europe",26.9
"Europe",26.9
"Europe",31.8358
"Europe",19.3
"Europe",19.485
"Europe",18.7
"Europe",15.7
"Europe",15.9
"Europe",20.5
"Europe",22.9368
"Europe",19.1667
"Europe",18.9742
"Europe",19.1667
