"Player","Position","Team","Receptions","Yards","Avgyds","Longest","TDs","YDS/G","TAR","20+","FUM","YAC","1DN"
"Julio Jones","WR","ATL",136,1871,13.8,70,8,116.9,204,25,3,620,93
"Antonio Brown","WR","PIT",136,1834,13.5,59,10,114.6,195,25,1,570,84
"DeAndre Hopkins","WR","HOU",111,1521,13.7,61,11,95.1,192,19,1,201,83
"Brandon Marshall","WR","NYJ",109,1502,13.8,69,14,93.9,174,19,3,395,76
"Odell Beckham Jr.","WR","NYG",96,1450,15.1,87,13,96.7,159,19,2,516,67
"Allen Robinson","WR","JAX",80,1400,17.5,90,14,87.5,153,31,0,341,61
"Demaryius Thomas","WR","DEN",105,1304,12.4,72,6,81.5,176,14,2,418,63
"A.J. Green","WR","CIN",86,1297,15.1,80,10,81.1,132,19,1,345,63
"Larry Fitzgerald","WR","ARI",109,1215,11.1,44,9,75.9,145,17,2,458,65
"Calvin Johnson","WR","DET",88,1214,13.8,57,9,75.9,150,16,1,285,65
"Mike Evans","WR","TB",74,1206,16.3,68,3,80.4,147,21,1,226,63
"Rob Gronkowski","TE","NE",72,1176,16.3,76,11,78.4,120,22,0,565,52
"Jarvis Landry","WR","MIA",110,1157,10.5,50,4,72.3,165,10,0,547,60
"Brandin Cooks","WR","NO",84,1138,13.5,71,9,71.1,129,18,1,378,45
"Emmanuel Sanders","WR","DEN",76,1135,14.9,75,6,75.7,137,12,1,337,51
"T.Y. Hilton","WR","IND",69,1124,16.3,87,5,70.3,135,17,1,376,49
"Greg Olsen","TE","CAR",77,1104,14.3,52,7,69,123,20,1,364,52
"Delanie Walker","TE","TEN",94,1088,11.6,61,6,72.5,133,13,0,355,52
"Jeremy Maclin","WR","KC",87,1088,12.5,61,8,72.5,124,14,2,324,49
"Amari Cooper","WR","OAK",72,1070,14.9,68,6,66.9,130,16,1,395,45
"Doug Baldwin","WR","SEA",78,1069,13.7,80,14,66.8,104,16,1,426,47
"Sammy Watkins","WR","BUF",60,1047,17.5,63,9,80.5,95,18,0,125,41
"Gary Barnidge","TE","CLE",79,1043,13.2,40,9,65.2,123,16,0,343,52
"Allen Hurns","WR","JAX",64,1031,16.1,80,10,68.7,104,19,2,343,48
"Eric Decker","WR","NYJ",80,1027,12.8,35,12,68.5,131,16,1,220,60
"John Brown","WR","ARI",65,1003,15.4,68,7,66.9,101,11,1,329,49
"Jordan Matthews","WR","PHI",85,997,11.7,78,8,62.3,127,14,2,421,44
"Willie Snead","WR","NO",69,984,14.3,63,3,65.6,102,15,2,334,44
"Travis Benjamin","WR","CLE",68,966,14.2,61,5,60.4,124,12,1,301,39
"Jordan Reed","TE","WSH",87,952,10.9,32,11,68,114,14,3,462,54
"Kamar Aiken","WR","BAL",75,944,12.6,48,5,59,127,11,1,202,53
"Michael Crabtree","WR","OAK",85,922,10.8,38,9,57.6,146,15,1,275,45
"James Jones","WR","GB",50,890,17.8,65,8,55.6,100,18,1,211,39
"Travis Kelce","TE","KC",72,875,12.2,42,5,54.7,100,10,2,533,40
"Zach Ertz","TE","PHI",75,853,11.4,60,2,56.9,112,11,1,261,39
"Michael Floyd","WR","ARI",52,849,16.3,60,6,56.6,89,13,0,215,40
"Terrance Williams","WR","DAL",52,840,16.2,42,3,52.5,94,13,0,210,36
"Randall Cobb","WR","GB",79,829,10.5,53,6,51.8,129,11,0,417,42
"Benjamin Watson","TE","NO",74,825,11.1,46,6,51.6,109,13,1,240,42
