"Shirt Size","Pct BF","Age","Weight","Height","Chest","Waist Size","Hip","Thigh","Knee","Ankle","Bicep","Forearm","Wrist","Test","Multiple regression predicted","Neural predicted value","Shirt Size Predictor","Boosted Tree Shirt Size","Random Forest predicted value"
15,12.3,23,154.25,67.75,93.1,33.543307,94.5,59,37.3,21.9,32,27.4,17.1,0,14.74585966,14.849506361,14.708333333,14.692729495,14.835949572
15.5,6.1,22,173.25,72.25,93.6,32.677165,98.7,58.7,37.3,23.4,30.5,28.9,18.2,0,15.186523486,15.103923246,15.4,15.200709167,15.230738266
14,25.3,22,154,66.25,95.8,34.606299,99.2,59.6,38.9,24,28.8,25.2,16.6,0,14.124755252,14.239891872,14.964285714,14.513736277,14.631410361
15,10.4,26,184.75,72.25,101.8,34.015748,101.2,60.1,37.3,22.8,32.4,29.4,18.2,0,15.540937786,15.507964183,15.47826087,15.45425748,15.339898748
14,28.7,24,184.25,71.25,97.3,39.370079,101.9,63.2,42.2,24,32.2,27.7,17.7,1,15.188014467,15.151462943,15.47826087,15.454219489,15.362313072
16,20.9,24,210.25,74.75,104.5,37.165354,107.8,66,42,25.6,35.7,30.6,18.8,0,15.883509887,15.863587748,16.083333333,16.013100926,16.169739376
15,19.2,26,181,69.75,105.1,35.708661,100.3,58.4,38.3,22.9,31.9,27.8,17.7,0,15.346892097,15.360904825,15.47826087,15.292541459,15.16214986
15.5,12.4,25,176,72.5,99.6,34.84252,97.1,60,39.4,23.2,30.5,29,18.8,0,15.52900535,15.493942926,15.4,15.260390511,15.362086084
15.5,4.1,25,191,74,100.9,32.480315,99.9,62.9,38.3,23.8,35.9,31.1,18.2,1,15.69326451,15.769867853,16.083333333,15.787812116,15.842329304
17,11.7,23,198.25,73.5,99.6,34.88189,104.1,63.1,41.7,25,35.6,30,19.2,0,15.861228666,15.708716543,16.892857143,16.321212324,16.155184157
15.5,7.1,26,186.25,74.5,101.5,32.913386,98.2,59.7,39.7,25.2,32.8,29.4,18.5,0,15.439374551,15.299872419,15.47826087,15.204220689,15.47492622
16,7.8,27,216,76,103.6,35.787402,107.7,66.2,39.2,25.9,37.2,30.2,19,0,16.021885686,16.079524915,16.083333333,15.857228755,16.049869531
15.5,20.8,32,180.5,69.5,102,36.062992,103.9,63.4,38.3,21.5,32.5,28.6,17.7,1,15.374612576,15.459192007,15.47826087,15.487100937,15.438835823
16,21.2,30,205.25,71.25,104.1,40.07874,108.6,66,41.5,23.7,36.9,31.6,18.8,0,16.1015578,16.169813233,16.083333333,16.252924388,16.239190906
16.5,22.1,35,187.75,69.5,101.3,37.952756,100.1,69,39,23.1,36.1,30.5,18.2,1,15.833024735,16.141935344,15.47826087,15.81658097,15.681027096
15,20.9,35,162.75,66,99.1,36.535433,99.2,63.1,38.7,21.7,31.1,26.4,16.9,0,14.814571221,14.989098741,14.964285714,15.110545261,15.098444666
16,29,34,195.75,71,101.9,37.952756,105.2,64.8,40.8,23.1,36.2,30.8,17.3,1,15.563977675,15.702170911,16.083333333,15.987038422,16.0290506
17,22.9,32,209.25,71,107.6,38.385827,107,66.9,40,24.4,38.2,31.6,19.3,0,16.376477477,16.526673169,16.892857143,16.716485287,16.630361541
15.5,16,28,183.75,67.75,106.8,35.275591,102.4,64.2,38.7,22.9,37.2,30.5,18.5,0,15.786480947,15.924414006,15.47826087,15.697351259,15.748608193
16,16.5,33,211.75,73.5,106.2,39.566929,109,65.8,40.6,24,37.1,30.1,18.2,2,15.921680979,15.924359117,16.083333333,16.075817102,15.964339716
16,19.1,28,179,68,103.3,37.755906,104.9,63.5,38,22.1,32.5,30.3,18.4,0,15.559976933,15.71534441,15.47826087,15.730612026,15.818414262
17,15.2,28,200.5,69.75,111.4,38.897638,104.8,63.4,40.6,24.6,33,32.8,19.9,0,16.447474465,16.374587984,16.892857143,16.817672569,16.595897109
14,15.6,31,140.25,68.25,86,30.07874,94.6,57.4,35.3,22.2,27.9,25.9,16.7,0,14.046152872,13.95544321,14,14.264532996,14.350354661
14.5,17.7,32,148.75,70,86.7,31.496063,93.4,54.9,36.2,22.1,29.8,26.7,17.1,0,14.456528114,14.28236257,14.708333333,14.535957473,14.602913858
14,14,28,151.25,67.75,90.2,30.03937,95.8,58.4,35.5,22.9,31.1,28,17.6,0,14.648383037,14.559310766,14.708333333,14.51286678,14.502616239
14.5,3.7,27,159.25,71.5,89.6,31.377953,96.5,55,36.7,22.5,29.9,28.2,17.7,2,14.787693471,14.623578225,14.708333333,14.622211909,14.79591981
15,7.9,34,131.5,67.5,88.6,29.370079,85.3,51.7,34.7,21.4,28.7,27,16.5,0,14.290474483,14.357101355,14.708333333,14.619278409,14.548207552
16,22.9,31,148,67.5,97.4,34.92126,94.7,57.5,36,21,29.2,26.6,17,0,14.577392,14.876458444,14.964285714,15.220646804,15.244271459
15,3.7,27,133.25,64.75,93.5,29.094488,88.5,50.1,34.5,21.3,30.5,27.9,17.2,0,14.580735518,14.846901266,14.964285714,14.792283196,14.7557955
15,8.8,29,160.75,69,97.4,32.874016,98.7,58.9,35.3,22.6,30.1,26.7,17.6,0,14.743950468,14.901007712,14.964285714,14.859922784,14.894471259
15.5,11.9,32,182,73.75,100.5,34.92126,99.8,57.5,38.7,33.9,32.5,27.7,18.4,0,14.201322189,14.48455386,15.47826087,15.152490346,15.278419156
15,5.7,29,160.25,71.25,93.5,33.267717,100.6,58.5,38.8,21.5,30.1,26.4,17.9,0,14.730263203,14.642541173,14.964285714,14.930498203,14.982906633
