"Player","season","team","pos","GP","Offence","Goals","Assists","Points","#NAME?","Penalty mins","pts/game","PowerPlayG","PPPoints","SHGoals","Shpoints","GamWinGoals","OTGoals","Shots","Shoot%","TimeOI/G","TOI/G","Mins","Secs","Shifts/P","FOWins"
"Jakob Silfverberg","2016-17","ANA","R",46,1,13,16,29,14,12,0.63,3,5,1,1,4,0,127,10.2,18:41:00,18.683333,18,41,26,20
"Duncan Keith","2016-17","CHI","D",46,0,2,29,31,9,10,0.67,1,10,0,0,1,1,99,2,02:00:00,26,26,0,29.6,0
"Pierre-Edouard Bellemare","2016-17","PHI","L",46,1,3,3,6,-2,2,0.13,0,0,0,1,0,0,65,4.6,14:08:00,14.133333,14,8,20.5,50.5
"Ivan Provorov","2016-17","PHI","D",46,0,3,17,20,-7,14,0.43,0,3,0,0,1,0,77,3.9,21:19:00,21.316667,21,19,28.2,0
"Matt Stajan","2016-17","CGY","C",46,1,4,12,16,7,16,0.35,0,0,0,2,2,0,38,10.5,13:03:00,13.05,13,3,18.5,51.5
"Josh Manson","2016-17","ANA","D",46,0,1,9,10,3,52,0.22,0,0,0,1,0,0,46,2.2,18:46:00,18.766667,18,46,23.8,0
"Patrick Kane","2016-17","CHI","R",46,1,14,33,47,7,24,1.02,2,13,0,0,4,1,160,8.8,21:55:00,21.916667,21,55,23.5,12.2
"Cam Fowler","2016-17","ANA","D",46,0,9,14,23,3,10,0.5,5,11,0,0,3,0,104,8.6,00:44:00,24.733333,24,44,28.9,0
"Kevin Bieksa","2016-17","ANA","D",46,0,2,3,5,0,39,0.11,1,2,0,0,0,0,55,3.6,18:57:00,18.95,18,57,22.9,0
"Sam Bennett","2016-17","CGY","C",46,1,9,9,18,-9,45,0.39,2,2,0,1,0,0,75,12,15:27:00,15.45,15,27,20.6,46.1
"Deryk Engelland","2016-17","CGY","D",46,0,1,7,8,8,50,0.17,0,0,0,0,1,0,60,1.7,17:56:00,17.933333,17,56,23.9,100
"Brandon Carlo","2016-17","BOS","D",46,0,3,6,9,5,31,0.2,0,0,0,0,0,0,53,5.7,21:31:00,21.516667,21,31,25.8,0
"Mikael Backlund","2016-17","CGY","C",46,1,12,17,29,6,16,0.63,5,10,0,3,3,0,107,11.2,17:22:00,17.366667,17,22,23.9,48.1
"Ryan Kesler","2016-17","ANA","C",46,1,18,19,37,14,38,0.8,7,15,0,0,2,0,109,16.5,21:51:00,21.85,21,51,28.2,57.3
"Mark Giordano","2016-17","CGY","D",46,0,5,14,19,7,36,0.41,2,10,2,3,1,0,92,5.4,00:07:00,24.116667,24,7,29.9,0
"TJ Brodie","2016-17","CGY","D",46,0,3,13,16,-17,12,0.35,1,6,1,2,0,0,44,6.8,23:33:00,23.55,23,33,29.5,0
"Michael Frolik","2016-17","CGY","R",46,1,11,14,25,5,22,0.54,2,3,2,3,1,1,104,10.6,16:30:00,16.5,16,30,22.5,47.1
"Chris VandeVelde","2016-17","PHI","C",46,1,5,6,11,-8,10,0.24,0,0,0,0,0,0,42,11.9,11:55:00,11.916667,11,55,17.7,51.5
"Wayne Simmonds","2016-17","PHI","R",46,1,18,16,34,-16,67,0.74,9,17,1,1,1,0,123,14.6,19:07:00,19.116667,19,7,25.7,53.3
"Torey Krug","2016-17","BOS","D",46,0,4,24,28,-6,24,0.61,2,12,0,0,1,0,130,3.1,21:56:00,21.933333,21,56,26.7,0
"Dominic Moore","2016-17","BOS","C",46,1,8,5,13,3,22,0.28,0,0,2,2,1,0,51,15.7,12:53:00,12.883333,12,53,18.2,54.3
"Corey Perry","2016-17","ANA","R",46,1,8,25,33,-1,29,0.72,2,15,0,0,1,0,126,6.3,18:14:00,18.233333,18,14,23.2,36.4
"Nikolaj Ehlers","2016-17","WPG","R",46,1,14,25,39,2,20,0.85,3,7,0,0,3,0,110,12.7,17:44:00,17.733333,17,44,22.7,0
"Andrew Cogliano","2016-17","ANA","L",46,1,10,11,21,11,18,0.46,0,0,2,2,0,0,106,9.4,15:28:00,15.466667,15,28,23.7,36.4
"Blake Wheeler","2016-17","WPG","R",46,1,13,23,36,-2,28,0.78,2,11,1,2,1,0,141,9.2,20:02:00,20.033333,20,2,26.3,45.5
"David Krejci","2016-17","BOS","C",46,1,10,18,28,-8,14,0.61,5,9,0,0,1,0,102,9.8,18:21:00,18.35,18,21,21.8,51.7
"Claude Giroux","2016-17","PHI","C",46,1,10,28,38,-13,26,0.83,4,21,0,0,1,1,117,8.5,19:29:00,19.483333,19,29,25.3,54.7
"Dustin Byfuglien","2016-17","WPG","D",46,0,7,19,26,-1,64,0.57,1,7,0,0,1,0,135,5.2,03:17:00,27.283333,27,17,28.8,0
"Alex Chiasson","2016-17","CGY","R",46,1,7,7,14,1,23,0.3,0,2,1,1,1,0,61,11.5,14:13:00,14.216667,14,13,19.6,11.8
