"Place","Bib#","Name","Country","Time(sec)","Run1","Run2","Total","Behind"
"1st, gold medalist(s)",5,"Marcel Hirscher","Austria",138.04,01:08:00,01:09:00,02:18:00,0
"2nd, silver medalist(s)",7,"Henrik Kristoffersen","Norway",139.31,01:09:00,01:09:00,02:19:00,1.27
"3rd, bronze medalist(s)",1,"Alexis Pinturault","France",139.35,01:08:00,01:10:00,02:19:00,1.31
"4",12,"Zan Kranjec","Slovenia",139.77,01:09:00,01:10:00,02:19:00,1.73
"5",11,"Thomas Fanara","France",139.83,01:09:00,01:10:00,02:19:00,1.79
"6",10,"Victor Muffat-Jeandet","France",139.85,01:09:00,01:10:00,02:19:00,1.81
"7",3,"Mathieu Faivre","France",139.99,01:09:00,01:10:00,02:19:00,1.95
"8",13,"Leif Kristian Nestvold-Haugen","Norway",140.23,01:08:00,01:11:00,02:20:00,2.19
"9",17,"Loïc Meillard","Switzerland",140.45,01:09:00,01:10:00,02:20:00,2.41
"10",2,"Matts Olsson","Sweden",140.7,01:09:00,01:11:00,02:20:00,2.66
"11",36,"Ryan Cochran-Siegle","United States",140.74,01:10:00,01:09:00,02:20:00,2.7
"11",27,"Erik Read","Canada",140.74,01:10:00,01:10:00,02:20:00,2.7
"13",14,"Manfred Mölgg","Italy",141.04,01:10:00,01:11:00,02:21:00,3
"14",15,"Florian Eisath","Italy",141.18,01:10:00,01:10:00,02:21:00,3.14
"15",19,"Gino Caviezel","Switzerland",141.25,01:09:00,01:11:00,02:21:00,3.21
"15",9,"Ted Ligety","United States",141.25,01:10:00,01:10:00,02:21:00,3.21
"17",32,"Samu Torsti","Finland",141.37,01:10:00,01:10:00,02:21:00,3.33
"18",35,"Phil Brown","Canada",141.51,01:11:00,01:10:00,02:21:00,3.47
"19",54,"Luca Aerni","Switzerland",141.62,01:11:00,01:10:00,02:21:00,3.58
"20",22,"Tommy Ford","United States",141.63,01:11:00,01:10:00,02:21:00,3.59
"21",42,"Stefan Hadalin","Slovenia",141.66,01:11:00,01:10:00,02:21:00,3.62
"22",30,"Linus Straßer","Germany",141.67,01:11:00,01:10:00,02:21:00,3.63
"23",21,"André Myhrer","Sweden",141.69,01:09:00,01:12:00,02:21:00,3.65
"24",20,"Filip Zubi","Croatia",141.84,01:10:00,01:10:00,02:21:00,3.8
"25",33,"Adam Zampa","Slovakia",141.86,01:11:00,01:10:00,02:21:00,3.82
"26",24,"Fritz Dopfer","Germany",142.07,01:10:00,01:11:00,02:22:00,4.03
"27",28,"Trevor Philp","Canada",142.55,01:11:00,01:11:00,02:22:00,4.51
"28",43,"Albert Popov","Bulgaria",143.6,01:12:00,01:11:00,02:23:00,5.56
"29",41,"James Crawford","Canada",144.12,01:11:00,01:12:00,02:24:00,6.08
"30",47,"Tomoya Ishii","Japan",144.78,01:12:00,01:12:00,02:24:00,6.74
"31",63,"Filip Forejtek","Czech Republic",146.07,01:12:00,01:13:00,02:26:00,8.03
"32",49,"Sam Maes","Belgium",146.2,01:13:00,01:12:00,02:26:00,8.16
"33",40,"Dominic Demschar","Australia",146.75,01:13:00,01:13:00,02:26:00,8.71
"34",38,"Adam Barwood","New Zealand",147.22,01:13:00,01:13:00,02:27:00,9.18
"35",55,"Kristaps Zvejnieks","Latvia",148.27,01:13:00,01:14:00,02:28:00,10.23
"36",34,"Willis Feasey","New Zealand",148.28,01:14:00,01:13:00,02:28:00,10.24
"37",57,"Samuel Kolega","Croatia",148.74,01:14:00,01:14:00,02:28:00,10.7
"38",68,"Olivier Jenot","Monaco",149.09,01:14:00,01:14:00,02:29:00,11.05
"39",73,"Kim Dong-woo","South Korea",150.05,01:14:00,01:15:00,02:30:00,12.01
"40",79,"Tormis Laine","Estonia",150.88,01:15:00,01:15:00,02:30:00,12.84
"41",71,"Marko Vukicevic","Serbia",151.35,01:14:00,01:16:00,02:31:00,13.31
"42",80,"Márton Kékesi","Hungary",151.86,01:16:00,01:15:00,02:31:00,13.82
"43",70,"Simon Breitfuss Kammerlander","Bolivia",152.25,01:16:00,01:15:00,02:32:00,14.21
"44",62,"Dalibor Samsal","Hungary",152.88,01:16:00,01:16:00,02:32:00,14.84
"45",77,"Marko Stevovic","Serbia",153.21,01:17:00,01:15:00,02:33:00,15.17
"46",78,"Ioannis Antoniou","Greece",153.3,01:17:00,01:15:00,02:33:00,15.26
"47",90,"Erjon Tola","Albania",153.63,01:16:00,01:16:00,02:33:00,15.59
"48",81,"Rodolfo Dickson","Mexico",153.69,01:17:00,01:16:00,02:33:00,15.65
"49",84,"Itamar Biran","Israel",153.71,01:17:00,01:16:00,02:33:00,15.67
"50",65,"Matej Falat","Slovakia",154.78,01:14:00,01:19:00,02:34:00,16.74
