"GDP($T)","Year","Years since 1950"
16.57,2016,66
16.49,2015,65
16.19,2014,64
15.79,2013,63
15.38,2012,62
15.19,2011,61
14.94,2010,60
14.54,2009,59
14.58,2008,58
14.99,2007,57
14.72,2006,56
14.37,2005,55
13.95,2004,54
13.53,2003,53
12.96,2002,52
12.71,2001,51
12.68,2000,50
12.32,1999,49
11.77,1998,48
11.21,1997,47
10.74,1996,46
10.28,1995,45
10.05,1994,44
9.65,1993,43
9.41,1992,42
9.02,1991,41
8.91,1990,40
8.85,1989,39
8.61,1988,38
8.29,1987,37
7.94,1986,36
7.71,1985,35
7.4,1984,34
7,1983,33
6.49,1982,32
6.59,1981,31
6.5,1980,30
6.5,1979,29
6.42,1978,28
6.02,1977,27
5.73,1976,26
5.49,1975,25
5.36,1974,24
5.46,1973,23
5.25,1972,22
4.91,1971,21
4.71,1970,20
4.72,1969,19
4.62,1968,18
4.4,1967,17
4.29,1966,16
4.1,1965,15
3.78,1964,14
3.6,1963,13
3.42,1962,12
3.28,1961,11
3.08,1960,10
3.06,1959,9
2.92,1958,8
2.85,1957,7
2.84,1956,6
2.78,1955,5
2.61,1954,4
2.54,1953,3
2.53,1952,2
2.4,1951,1
2.27,1950,0
