"survived","class"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
"Yes","First"
